"ZIP5","AverageIndex","StormEventIndex","StormEventDurationHours","exceptional","acceptable","unacceptable"
"84302",0.205,0.99,2.415,76.665,23.335,0
"84305",0.41,3.68,9,20.37,59.26,20.37
"84307",0.448748,4.03685,8.665,40.258092,49.298436,10.443472
"84310",0.126666666666667,3.78333333333333,9.83333333333333,69.49,25.8,4.70666666666667
"84312",0,0,0,100,0,0
"84315",0.78261811023622,7.9514,10.16,11.1186614173228,73.0069980314961,15.8743405511811
"84316",0.28,6.29,22.83,18.12,60.87,21.01
"84317",0.525,15.55,29.585,6.79,75.63,17.57
"84319",0.31,7.5,24,11.03,65.52,23.45
"84320",0.13,4.19,31.33,13.23,86.77,0
"84321",0.29,6.865,23.585,14.085,73.475,12.44
"84322",0.27,6.23,23.17,17.14,81.43,1.43
"84324",0.453456924754635,4.1582,9.17,8.75368593238822,80.6708287895311,10.5754852780807
"84328",0.294485641584878,4.9394,11.3333333333333,39.6078953107961,53.5136095965104,6.8818284260269
"84330",0.205,1.84,4.5,60.185,29.63,10.185
"84331",0.294374,4.015925,11.0825,41.419046,43.014218,15.566736
"84332",0.27,6.23,23.17,17.14,81.43,1.43
"84333",0.133333333333333,3.47333333333333,18.1666666666667,43.4566666666667,56.0666666666667,0.476666666666667
"84335",0.13,4.19,31.33,13.23,86.77,0
"84336",0.487496,6.0937,12.5,27.186184,51.926872,20.886944
"84337",0.3,2.04,6.83,21.43,45.24,33.33
"84339",0.37,9.08,24.415,10.55,72.695,16.76
"84340",0.131458333333333,2.10333333333333,5.33333333333333,69.3785416666667,27.9035416666667,2.71791666666667
"84341",0.27,6.23,23.17,17.14,81.43,1.43
"84401",0.51,14.58,28.42,5.605,77.175,17.215
"84403",0.35,9.725,27.835,7.12,79.2,13.68
"84404",0.394375,6.31,16,8.135625,83.710625,8.15375
"84405",0.35,9.725,27.835,7.12,79.2,13.68
"84414",0.1971875,3.155,8,54.0678125,41.8553125,4.076875
"84501",0,0,0,100,0,0
"84511",0.37,2.425,6.835,10.41,63.705,25.88
"84518",0,0,0,100,0,0
"84521",0,0,0,100,0,0
"84522",0.42,1.89,4.5,10.71,82.14,7.14
"84525",0.42,5.76,13.67,3.61,80.72,15.66
"84528",0,0,0,100,0,0
"84532",0.31,1.62,5.5,4.84,67.655,27.505
"84533",0,0,0,100,0,0
"84535",0.2,1.12,3.83333333333333,36.2733333333333,48.9933333333333,14.73
"84540",0.46,2.29,5,9.68,67.74,22.58
"84601",0.29,1.06,3.67,4.35,73.91,21.74
"84604",0.262,7.068,16.832,53.958,40.962,5.078
"84606",0.29,1.06,3.67,4.35,73.91,21.74
"84620",0,0,0,100,0,0
"84626",0,0,0,100,0,0
"84628",0,0,0,100,0,0
"84629",0,0,0,100,0,0
"84631",0,0,0,100,0,0
"84633",0.34,9.25,27.5,10.84,67.47,21.69
"84637",0.2,1.84,3.05666666666667,69.97,22.8233333333333,7.20666666666667
"84639",0,0,0,100,0,0
"84642",0,0,0,100,0,0
"84645",0.34,9.25,27.5,10.84,67.47,21.69
"84648",0,0,0,100,0,0
"84651",0.2,4.78,23.83,15.97,72.22,11.81
"84653",0.2,4.78,23.83,15.97,72.22,11.81
"84654",0.733333333333333,6.17666666666667,7.66666666666667,4.68,75.43,19.8866666666667
"84655",0.34,9.25,27.5,10.84,67.47,21.69
"84656",0,0,0,100,0,0
"84657",0,0,0,100,0,0
"84660",0.1225,1.46,6.875,55.08,36.5325,8.3875
"84663",0.29,1.06,3.67,4.35,73.91,21.74
"84665",0,0,0,100,0,0
"84701",0,0,0,100,0,0
"84710",0.46,8.32,18.17,16.51,75.23,8.26
"84713",0.316666666666667,2.69166666666667,5.52833333333333,44.9,36.3033333333333,18.7966666666667
"84716",0,0,0,100,0,0
"84719",1.09,28.27,26,15.15,77.78,7.07
"84720",0.63,10.6166666666667,10.1666666666667,39.5733333333333,58.07,2.35666666666667
"84721",0.53,5.39,16.335,8.845,81.45,9.705
"84731",0.62,4.96,8,54.17,45.83,0
"84732",0,0,0,100,0,0
"84740",0,0,0,100,0,0
"84742",0,0,0,100,0,0
"84747",0,0,0,100,0,0
"84757",0,0,0,100,0,0
"84760",0.66,5.19,7.77666666666667,29.5066666666667,53.7966666666667,16.6966666666667
"84761",0.26,7.2,28.17,14.12,66.47,19.41
"84762",1.09,28.27,26,15.15,77.78,7.07
"84766",0.93,7.77,8.33,7.84,70.59,21.57
"84774",0,0,0,100,0,0
