"SITE","EventStartSampleTime","EventEndSampleTime","AverageIndex","StormEventIndex","StormEventDurationHours","exceptional","acceptable","unacceptable","LATITUDE","LONGITUDE","COUNTY"
"I-70 @ RATTLESNAKE BENCH",2024-03-02 19:20:00,2024-03-03 09:00:00,0.42,5.76,13.67,3.61,80.72,15.66,38.904,-110.562,"Emery"
"I-70 @ RICHFIELD",NA,NA,0,0,0,100,0,0,38.773,-112.099,"Sevier"
"I-70 @ SALINA CANYON",2024-03-02 17:50:00,2024-03-03 02:30:00,0.76,6.59,8.67,0,64.15,35.85,38.9057,-111.6399,"Sevier"
"I-70 @ SR-24",NA,NA,0,0,0,100,0,0,38.876,-111.959,"Sevier"
"I-80 @ COALVILLE",2024-03-02 12:50:00,2024-03-03 19:20:00,0.38,11.47,30.5,13.66,68.85,17.49,40.918,-111.407,"Summit"
"I-80 @ GRASSY",2024-03-02 11:50:00,2024-03-03 11:30:00,0.474452554744526,5.85,12.33,5.36824817518248,54.8270802919708,39.8010218978102,40.762,-113.01,"Tooele"
"I-80 @ KIMBALL JCT",NA,NA,0,0,0,100,0,0,40.728,-111.543,"Summit"
"I-80 @ LAKEPOINT",2024-03-02 13:00:00,2024-03-03 09:20:00,0.333952941176471,2.8386,8.5,22.7346588235294,66.0006352941176,11.2647058823529,40.693,-112.264,"Tooele"
"I-80 @ MOUTH OF PARLEYS",2024-03-02 12:50:00,2024-03-03 09:10:00,0.25,5.13,20.33,6.56,87.7,5.74,40.712,-111.802,"Salt Lake"
"I-80 @ MP 1",NA,NA,0,0,0,100,0,0,40.745,-114.022,"Tooele"
"I-80 @ MP 107",2024-03-02 13:00:00,2024-03-03 09:10:00,0.17,3.49,20.17,17.21,76.23,6.56,40.7701,-112.1508,"Salt Lake"
"I-80 @ MP 125 SUGAR HOUSE",2024-03-02 13:40:00,2024-03-03 09:10:00,0.26,5.03,19.5,3.39,89.83,6.78,40.72,-111.8526,"Salt Lake"
"I-80 @ MP 132 MT. AIRE",NA,NA,0,0,0,100,0,0,40.74214,-111.7398,"Salt Lake"
"I-80 @ MP 134 EAST CANYON",2024-03-02 12:35:00,2024-03-03 13:15:00,0.37,9.17,24.67,3.37,86.53,10.1,40.7509,-111.7138,"Salt Lake"
"I-80 @ MP 136 LAMBS CANYON",2024-03-02 12:35:00,2024-03-03 12:35:00,0.4,9.67,24,4.5,85.47,10.03,40.7397,-111.673,"Salt Lake"
"I-80 @ MP 142 JEREMY RANCH",NA,NA,0,0,0,100,0,0,40.75317,-111.5718,"Summit"
"I-80 @ MP 151 TOLLGATE CANYON",NA,NA,0,0,0,100,0,0,40.7749,-111.4678,"Summit"
"I-80 @ MP 172 ECHO CANYON",2024-03-02 12:40:00,2024-03-03 18:00:00,0.36,10.5,29.33,7.43,85.14,7.43,41.01025,-111.37445,"Summit"
"I-80 @ PARLEYS CANYON QUARRY",2024-03-02 12:45:00,2024-03-03 09:20:00,0.43,8.89,20.58,1.21,87.1,11.69,40.7281,-111.7656,"Salt Lake"
"I-80 @ PARLEYS SUMMIT",2024-03-02 12:30:00,2024-03-03 13:10:00,0.67,16.42,24.67,10.1,81.18,8.71,40.753,-111.625,"Salt Lake"
"I-80 @ WAHSATCH HILL",2024-03-02 12:50:00,2024-03-03 18:10:00,0.54,15.96,29.33,19.21,72.32,8.47,41.195,-111.114,"Summit"
"I-80 @ WANSHIP",2024-03-02 13:30:00,2024-03-03 13:50:00,0.41,10.02,24.33,16.55,80.69,2.76,40.813,-111.401,"Summit"
"I-84 @ CHAULK HILL",2024-03-02 09:30:00,2024-03-03 10:10:00,0.487496,6.0937,12.5,27.186184,51.926872,20.886944,41.911,-112.605,"Box Elder"
"I-84 @ DEVILS SLIDE",NA,NA,0,0,0,100,0,0,41.057,-111.532,"Morgan"
"I-84 @ MP 108 TAGGARTS",2024-03-02 12:40:00,2024-03-03 18:00:00,0.27,8.05,29.33,NA,NA,NA,41.05305,-111.5987,"Morgan"
"I-84 @ MP 91 DEVILS GATE",2024-03-02 12:00:00,2024-03-03 16:30:00,0.33,9.51,28.5,NA,NA,NA,41.1397,-111.8539,"Morgan"
"I-84 @ WEBER CANYON",2024-03-02 12:00:00,2024-03-03 16:30:00,0.35,10.04,28.5,8.14,77.91,13.95,41.138,-111.887,"Weber"
"I-84 @ WHITES VALLEY",2024-03-02 11:50:00,2024-03-03 10:40:00,0.28,6.29,22.83,18.12,60.87,21.01,41.81,-112.339,"Box Elder"
"NORTH OGDEN DIVIDE",NA,NA,0,0,0,100,0,0,41.3205,-111.8993,"Weber"
"PIONEER CROSSING",2024-03-02 14:50:00,2024-03-03 08:50:00,0.16,2.86,18,14.68,82.57,2.75,40.373,-111.916,"Utah"
"RIVERDALE RD",2024-03-02 13:00:00,2024-03-03 16:10:00,0.35,9.41,27.17,6.1,80.49,13.41,41.175,-112.009,"Weber"
"SR-10 @ MP 54 POISON SPRING BENCH",NA,NA,0,0,0,100,0,0,39.4016,-110.8902,"Emery"
"SR-111 @ BACCHUS",2024-03-02 13:20:00,2024-03-03 09:50:00,0.45,9.25,20.5,4.03,66.94,29.03,40.635,-112.056,"Salt Lake"
"SR-112 @ MP 6 UTAH AVENUE",2024-03-02 13:20:00,2024-03-03 08:30:00,0.36,6.88,19.17,6.9,81.9,11.21,40.54827,-112.34157,"Tooele"
"SR-12 @ BOULDER SUMMIT",NA,NA,0,0,0,100,0,0,38.043,-111.327,"Garfield"
"SR-130 @ MP 32 MINERSVILLE PASS",2024-03-02 19:10:00,2024-03-03 23:20:00,0.26,7.2,28.17,14.12,66.47,19.41,38.0737,-112.9598,"Iron"
"SR-131 @ MP 0.5 PORTER ROCKWELL BRIDGE",2024-03-02 14:10:00,2024-03-03 08:40:00,0.18,3.37,18.5,NA,NA,NA,40.46363,-111.9345,"Salt Lake"
"SR-14 SUMMIT",2024-03-02 11:20:00,2024-03-03 13:20:00,1.09,28.27,26,15.15,77.78,7.07,37.568,-112.85,"Iron"
"SR-153 NEAR PUFFER LAKE",NA,NA,0,0,0,100,0,0,38.321,-112.373,"Beaver"
"SR-154 @ MP 21 2100 S",2024-03-02 13:30:00,2024-03-03 11:00:00,0.13,2.74,21.5,2.31,82.31,15.38,40.72275,-111.9866,"Salt Lake"
"SR-154 @ MP 7 RIVERTON",2024-03-02 14:40:00,2024-03-03 08:50:00,0.17,3.12,18.17,12.73,70.91,16.36,40.5215,-111.98343,"Salt Lake"
"SR-158 @ POWDER MOUNTAIN",NA,NA,0,0,0,100,0,0,41.37884,-111.7841,"Weber"
"SR-167 @ TRAPPERS LOOP",2024-03-02 11:40:00,2024-03-03 17:20:00,0.67,19.75,29.67,5.11,73.86,21.02,41.2058,-111.8166,"Weber"
"SR-177 @ MP 14.5 SYRACUSE",2024-03-02 12:50:00,2024-03-03 09:10:00,0.78261811023622,7.9514,10.16,11.1186614173228,73.0069980314961,15.8743405511811,41.0974,-112.0853,"Davis"
"SR-177 @ MP 5 KAYSVILLE",2024-03-02 13:20:00,2024-03-03 08:50:00,0.32,6.31,19.5,2.56,87.18,10.26,41.0085,-111.9593,"Davis"
"SR-186 FOOTHILL DR. @ MARIO CAPECCHI DR.",2024-03-02 12:40:00,2024-03-03 12:00:00,0.33,7.7,23.33,1.42,53.19,45.39,40.75757,-111.83607,"Salt Lake"
"SR-190 @ CARDIFF",2024-03-02 17:00:00,2024-03-03 16:40:00,0.77,18.23,23.67,14.6,72.26,13.14,40.6503,-111.6499,"Salt Lake"
"SR-190 @ TORPEDO HILL",2024-03-02 13:20:00,2024-03-03 09:40:00,0.6,12.25,20.33,6.5,77.24,16.26,40.623,-111.75,"Salt Lake"
"SR-196 @ MP 2 DUGWAY",2024-03-02 13:10:00,2024-03-03 10:50:00,0.29,6.33,21.67,3.15,76.38,20.47,40.2517,-112.7346,"Tooele"
"SR-199 @ JOHNSON'S PASS",2024-03-02 11:50:00,2024-03-03 12:30:00,0.53,13.07,24.67,5.41,87.84,6.76,40.337,-112.7346,"Tooele"
"SR-20",2024-03-02 19:20:00,2024-03-03 04:10:00,0.76,6.71,8.83,1.85,55.56,42.59,38.03036,-112.53073,"Iron"
"SR-201 @ I-80",2024-03-02 13:10:00,2024-03-03 09:50:00,0.335,3.015,9,23.21,67.855,8.925,40.723,-112.226,"Tooele"
"SR-210 @ POWERHOUSE",2024-03-02 13:10:00,2024-03-03 08:40:00,0.68,13.31,19.5,5.61,91.59,2.8,40.571,-111.744,"Salt Lake"
"SR-210 @ WHITE PINE",2024-03-02 11:40:00,2024-03-03 13:40:00,0.86,22.36,26,16.31,64.54,19.15,40.57605,-111.6819,"Salt Lake"
"SR-224 @ MEADOWS DRIVE",NA,NA,0,0,0,100,0,0,40.676,-111.521,"Summit"
"SR-224 @ MP 3 ONTARIO MINE",NA,NA,0,0,0,100,0,0,40.6253,-111.4968,"Summit"
"SR-24 @ WAYNE SUMMIT",NA,NA,0,0,0,100,0,0,38.453,-111.831,"Wayne"
"SR-248",2024-03-02 13:40:00,2024-03-03 14:00:00,0.35,8.56,24.33,4.11,73.29,22.6,40.634,-111.385,"Wasatch"
"SR-248 @ MP 1 COMSTOCK DR.",NA,NA,0,0,0,100,0,0,40.66786,-111.49192,"Summit"
"SR-276 @ MP 21.5 MT. ELLSWORTH",NA,NA,0,0,0,100,0,0,37.7519,-110.6545,"Garfield"
"SR-30 @ MP 124 LAKETOWN SUMMIT",NA,NA,0,0,0,100,0,0,41.80802,-111.25174,"Rich"
"SR-32 @ MP 16.5 MARION",NA,NA,0,0,0,100,0,0,40.69837,-111.28088,"Summit"
"SR-35 @ WOLF CREEK PASS",NA,NA,0,0,0,100,0,0,40.487,-111.034,"Wasatch"
"SR-36 @ MP 49 STOCKTON BAR",2024-03-02 13:00:00,2024-03-03 12:40:00,0.51,12.09,23.67,18.18,78.32,3.5,40.4689,-112.352,"Tooele"
"SR-36 @ MP 57 TOOELE",2024-03-02 12:50:00,2024-03-03 08:30:00,0.18,3.62,19.67,5.04,75.63,19.33,40.56585,-112.2962,"Tooele"
"SR-39 @ MP 17.5 HUNTSVILLE",2024-03-02 11:40:00,2024-03-03 17:10:00,0.38,11.35,29.5,8.47,77.4,14.12,41.24793,-111.77576,"Weber"
"SR-44 @ MP 9 MOOSE POND",2024-03-02 07:20:00,2024-03-03 15:30:00,0.76,24.4,32.17,15.1,45.83,39.06,40.84185,-109.64705,"Daggett"
"SR-56 @ MP 43 IRON MOUNTAIN SUMMIT",NA,NA,0,0,0,100,0,0,37.6099,-113.3698,"Iron"
"SR-65 @ BIG MOUNTAIN PASS",NA,NA,0,0,0,100,0,0,40.828,-111.654,"Salt Lake"
"SR-85 @ DANNON WAY",2024-03-02 13:40:00,2024-03-03 09:00:00,0.21,3.99,19.33,6.84,76.07,17.09,40.582,-112.03,"Salt Lake"
"SR-85 @ JUNIPER",2024-03-02 14:10:00,2024-03-03 08:40:00,0.23,4.22,18.5,NA,NA,NA,40.486,-111.994,"Salt Lake"
"SR-85 @ SR-201",2024-03-02 13:30:00,2024-03-03 09:40:00,0.27,5.43,20.17,9.17,77.5,13.33,40.7247,-112.0288,"Salt Lake"
